,City
대전광역시,1.9047619047619047
대구광역시,1.75
광주광역시,1.6
경산시,1.4
속초시,1.3333333333333333
성남시,1.25
제주특별자치도,1.1666666666666667
천안시,1.0
동해시,1.0
구미시,1.0
동두천시,1.0
안성시,1.0
오산시,1.0
포항시,0.9166666666666666
서울특별시,0.9133489461358314
광명시,0.875
세종특별자치시,0.8571428571428571
이천시,0.8333333333333334
고양시,0.675
서산시,0.6666666666666666
부산광역시,0.6180555555555556
아산시,0.5714285714285714
청주시,0.5217391304347826
여수시,0.5
고성군,0.5
사천시,0.5
거제시,0.5
김천시,0.5
충주시,0.5
과천시,0.5
화성시,0.5
안양시,0.47368421052631576
용인시,0.4594594594594595
수원시,0.43902439024390244
군포시,0.42857142857142855
창원시,0.41935483870967744
경주시,0.4117647058823529
강릉시,0.4
평택시,0.4
하남시,0.4
김포시,0.4
목포시,0.4
진주시,0.375
안산시,0.3684210526315789
원주시,0.36363636363636365
울산광역시,0.3620689655172414
논산시,0.3333333333333333
통영시,0.3333333333333333
여주시,0.3333333333333333
문경시,0.3333333333333333
홍천군,0.3333333333333333
인천광역시,0.3302752293577982
춘천시,0.3157894736842105
순천시,0.3
의정부시,0.3
부천시,0.2972972972972973
김해시,0.2857142857142857
양산시,0.2857142857142857
익산시,0.25
구리시,0.25
안동시,0.25
공주시,0.25
당진시,0.2
예산군,0.2
군산시,0.2
광양시,0.2
남양주시,0.1935483870967742
전주시,0.19047619047619047
시흥시,0.15789473684210525
파주시,0.125
포천시,0.1111111111111111
광주시,0.1
양주시,0.08333333333333333
가평군,
강진군,
거창군,
계룡시,
고령군,
고창군,
괴산군,
김제시,
나주시,
남원시,
남해군,
무안군,
무주군,
밀양시,
보령시,
봉화군,
부안군,
부여군,
산청군,
삼척시,
상주시,
서천군,
성주군,
순창군,
양구군,
양양군,
양평군,
연천군,
영광군,
영덕군,
영동군,
영암군,
영주시,
영천시,
완도군,
완주군,
음성군,
의왕시,
인제군,
임실군,
정선군,
정읍시,
제천시,
증평군,
진도군,
진천군,
창녕군,
철원군,
청송군,
청양군,
칠곡군,
태안군,
평창군,
함안군,
함양군,
해남군,
홍성군,
화순군,
화천군,
